Table 35: Buying Conditions for Large Household Goods,,,,,,,
Quarter,Year,Good time to buy,Uncertain, depends,Bad time to buy,Relative - Formula,Relative - Values
1,1960,58,30,12,146,118.699187,118.699187
2,1960,44,39,17,127,111.8942731,111.8942731
3,1960,53,31,16,137,115.6118143,115.6118143
4,1960,42,39,19,123,110.3139013,110.3139013
1,1961,54,29,17,137,115.6118143,115.6118143
2,1961,45,38,17,128,112.2807018,112.2807018
3,1961,61,27,12,149,119.6787149,119.6787149
4,1961,46,40,14,132,113.7931034,113.7931034
1,1962,60,30,10,150,120,120
2,1962,49,39,12,137,115.6118143,115.6118143
3,1962,49,39,12,137,115.6118143,115.6118143
4,1962,46,37,17,129,112.6637555,112.6637555
1,1963,58,33,9,149,119.6787149,119.6787149
2,1963,44,41,15,129,112.6637555,112.6637555
3,1963,57,36,7,150,120,120
4,1963,54,36,10,144,118.0327869,118.0327869
1,1964,57,35,8,149,119.6787149,119.6787149
2,1964,54,36,10,144,118.0327869,118.0327869
3,1964,55,36,9,145,118.7755102,118.7755102
4,1964,55,36,9,147,118.6234818,118.6234818
1,1965,56,36,8,148,119.3548387,119.3548387
2,1965,59,33,9,150,119.9203187,119.9203187
3,1965,61,30,9,152,120.6349206,120.6349206
4,1965,55,34,11,144,118.0327869,118.0327869
1,1966,56,32,12,144,118.0327869,118.0327869
2,1966,54,30,16,138,115.9663866,115.9663866
3,1966,49,37,14,135,114.893617,114.893617
4,1966,35,45,20,115,106.9767442,106.9767442
1,1967,44,33,23,121,109.5022624,109.5022624
2,1967,59,29,12,147,119.0283401,119.0283401
3,1967,58,28,14,144,118.0327869,118.0327869
4,1967,55,32,13,142,117.3553719,117.3553719
1,1968,60,29,11,149,119.6787149,119.6787149
2,1968,58,25,17,141,117.0124481,117.0124481
3,1968,56,29,15,141,117.0124481,117.0124481
4,1968,45,39,16,129,112.6637555,112.6637555
1,1969,53,33,14,139,116.3179916,116.3179916
2,1969,52,29,19,133,114.1630901,114.1630901
3,1969,43,34,23,120,109.0909091,109.0909091
4,1969,37,33,30,107,103.3816425,103.3816425
1,1970,39,33,28,111,105.2132701,105.2132701
2,1970,37,35,28,109,104.3062201,104.3062201
3,1970,34,38,28,106,102.9126214,102.9126214
4,1970,32,28,40,92,95.83333333,95.83333333
1,1971,42,33,25,117,107.8341014,107.8341014
2,1971,45,36,19,126,111.5044248,111.5044248
3,1971,52,30,18,134,114.5299145,114.5299145
4,1971,53,27,20,133,114.1630901,114.1630901
1,1972,54,32,14,140,116.6666667,116.6666667
2,1972,49,34,17,132,113.7931034,113.7931034
3,1972,57,32,11,146,118.699187,118.699187
4,1972,46,39,15,131,113.4199134,113.4199134
1,1973,50,36,14,136,115.2542373,115.2542373
2,1973,47,36,17,130,113.0434783,113.0434783
3,1973,44,39,17,127,111.8942731,111.8942731
4,1973,46,33,21,125,111.1111111,111.1111111
1,1974,43,33,24,119,108.6757991,108.6757991
2,1974,39,38,23,116,107.4074074,107.4074074
3,1974,34,39,27,107,103.3816425,103.3816425
4,1974,31,36,33,98,98.98989899,98.98989899
1,1975,33,31,36,97,98.47715736,98.47715736
2,1975,37,36,27,110,104.7619048,104.7619048
3,1975,42,36,22,120,109.0909091,109.0909091
4,1975,42,34,24,118,108.2568807,108.2568807
1,1976,44,40,16,128,112.2807018,112.2807018
2,1976,44,38,18,126,111.5044248,111.5044248
3,1976,54,33,13,141,117.0124481,117.0124481
4,1976,51,27,22,129,112.6637555,112.6637555
1,1977,58,22,20,138,115.9663866,115.9663866
2,1977,63,23,14,149,119.6787149,119.6787149
3,1977,66,17,17,149,119.6787149,119.6787149
4,1977,62,17,21,141,117.0124481,117.0124481
1,1978,61,18,21,140,116.6666667,116.6666667
2,1978,65,17,18,147,119.0283401,119.0283401
3,1978,63,18,19,144,118.0327869,118.0327869
4,1978,57,19,24,133,114.1630901,114.1630901
1,1979,62,14,24,138,115.9663866,115.9663866
2,1979,62,11,27,135,114.893617,114.893617
3,1979,60,11,29,131,113.4199134,113.4199134
4,1979,55,10,35,120,109.0909091,109.0909091
1,1980,59,9,32,127,111.8942731,111.8942731
2,1980,39,10,51,88,93.61702128,93.61702128
3,1980,48,15,37,111,105.2132701,105.2132701
4,1980,50,13,37,113,106.1032864,106.1032864
1,1981,47,15,38,109,104.3062201,104.3062201
2,1981,49,14,37,112,105.6603774,105.6603774
3,1981,51,15,34,117,107.8341014,107.8341014
4,1981,46,14,40,106,102.9126214,102.9126214
1,1982,51,12,37,114,106.5420561,106.5420561
2,1982,43,14,43,100,100,100
