Table 5: Components of the Index of Consumer Sentiment
Quarter,Year,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,
1,1960,110,134,168,117,146,100.3,105.3,
2,1960,108,129,154,112,127,92.3,99.3,
3,1960,119,133,152,116,137,97.6,98.2,
4,1960,103,126,142,116,123,90,94.1,
1,1961,102,132,135,113,137,93.9,95.6,
2,1961,105,131,147,114,128,91.6,98.8,
3,1961,116,130,156,119,149,100.9,99.2,
4,1961,109,128,148,111,132,94.7,97.5,
1,1962,110,133,163,119,150,101.5,104.1,
2,1962,112,132,153,112,137,94.9,97.2,
3,1962,109,128,142,103,137,96.3,94.1,
4,1962,116,129,154,114,129,96.2,99.9,
1,1963,116,136,156,108,149,103.9,100.6,
2,1963,114,128,145,103,129,95,94.8,
3,1963,113,127,152,109,150,103,97.7,
4,1963,114,126,156,117,144,98.3,97.7,
1,1964,114,130,162,117,149,100.2,100.1,
2,1964,120,130,159,111,144,100.6,97.9,
3,1964,133,140,155,124,145,100.8,99.8,
4,1964,132,141,168,122,147,100.9,101.8,
1,1965,118,132,168,124,148,101.1,103.7,
2,1965,138,134,159,131,150,109.7,103.8,
3,1965,120,135,158,136,152,103.6,105,
4,1965,120,135,163,133,144,100.7,105.5,
1,1966,120,131,160,121,144,100.7,100.7,
2,1966,115,122,153,120,138,96.4,96.7,
3,1966,108,121,142,111,135,92.7,91.4,
4,1966,110,120,139,112,115,85.8,90.9,
1,1967,118,132,147,117,121,91.1,97.1,
2,1967,113,128,146,113,147,99.1,95,
3,1967,118,125,150,118,144,100.2,96.2,
4,1967,111,124,142,108,142,96.3,91.8,
1,1968,120,135,141,112,149,102.3,95,
2,1968,114,123,140,106,141,97.1,90.6,
3,1968,114,127,134,107,141,97.5,90.3,
4,1968,114,121,142,113,129,92.6,92.3,
1,1969,121,136,152,116,139,99,98.7,
2,1969,111,125,141,109,133,92.9,91.8,
3,1969,108,119,135,102,120,86.9,87.3,
4,1969,104,120,112,96,107,80.6,80.3,
1,1970,105,120,105,87,111,82.3,76.5,
2,1970,108,122,93,78,109,82.6,71.9,
3,1970,107,120,105,86,106,81.3,76.4,
4,1970,104,121,98,75,92,74.7,72,
1,1971,99,121,105,86,117,82.4,76.6,
2,1971,104,121,110,82,126,87.7,76.6,
3,1971,98,120,117,85,134,88.5,79.1,
4,1971,104,122,109,86,133,90.3,77.9,
1,1972,106,127,137,99,140,96.4,91.6,
2,1972,129,132,118,88,132,99.3,82.9,
3,1972,122,129,140,106,146,101.9,92,
4,1972,113,124,129,97,131,95.9,88.5,
1,1973,109,119,99,73,136,95.8,74,
2,1973,106,113,85,68,130,92.7,68,
3,1973,93,106,76,66,127,86.6,63.7,
4,1973,109,118,78,69,125,91.7,67.8,
1,1974,88,100,45,47,119,81.8,50.1,
2,1974,101,113,75,65,116,85.6,64.6,
3,1974,84,101,64,61,107,75.7,58.3,
4,1974,86,100,46,53,98,73.1,51.9,
1,1975,79,102,46,47,97,70,50.7,
2,1975,87,118,92,66,110,78.1,70.5,
3,1975,94,108,97,74,120,84.2,71.4,
4,1975,98,120,93,63,118,85.1,70.6,
1,1976,103,125,119,80,128,90.6,81.9,
2,1976,103,119,119,78,126,89.8,80.2,
3,1976,106,120,128,92,141,96.9,86.2,
4,1976,98,117,118,107,129,89.4,86.6,
1,1977,97,118,117,100,138,92.3,84.9,
2,1977,109,116,122,95,149,101.1,84.3,
3,1977,110,119,117,88,149,101.5,82.2,
4,1977,110,109,106,86,141,98.3,76.6,
1,1978,104,110,103,83,140,95,74.6,
2,1978,105,109,98,75,147,98.2,71.3,
3,1978,105,111,92,70,144,97,69.1,
4,1978,101,103,78,66,133,91.2,62.7,
1,1979,98,99,70,63,138,92.3,58.9,
2,1979,90,92,58,58,135,87.7,53.3,
3,1979,92,96,48,46,131,87,48.8,
4,1979,84,97,50,51,120,79.9,51,
1,1980,86,99,51,50,127,83,51.6,
2,1980,77,98,35,51,88,65.1,47.5,
3,1980,91,111,64,63,111,79.4,60.4,
4,1980,83,109,81,83,113,76.9,68.9,
1,1981,82,107,70,76,109,74.8,64,
2,1981,88,114,89,79,112,78.2,71.2,
3,1981,98,115,84,74,117,83.9,69,
4,1981,91,110,59,62,106,77.1,58.5,
1,1982,91,111,55,65,114,79.4,58.3,
2,1982,91,113,61,69,100,74.2,61.1,
3,1982,89,113,64,69,102,74.3,61.8,
4,1982,90,119,77,83,107,76.7,69.8,
1,1983,91,119,91,78,114,79.6,72,
2,1983,106,132,131,98,137,94.2,89.8,
3,1983,108,125,130,99,140,96,88.1,
4,1983,113,125,131,99,137,96.6,88.3,
1,1984,119,131,146,109,153,105,96,
2,1984,121,126,132,106,154,105.9,90.6,
3,1984,123,128,137,113,153,106.4,94,
4,1984,119,127,132,104,146,102.2,90.3,
1,1985,115,122,133,99,156,104.6,88,
2,1985,116,125,127,99,157,105.1,87.4,
3,1985,114,124,124,98,154,103.5,85.9,
4,1985,114,123,119,96,148,101.3,84.4,
1,1986,120,123,129,96,164,109.3,86.7,
2,1986,121,128,134,95,163,109.2,88.8,
3,1986,122,128,123,91,162,109.8,85.3,
4,1986,119,125,116,90,159,107.1,82.4,
1,1987,116,126,118,84,152,103.8,81.9,
2,1987,117,123,114,92,160,107,82.1,
3,1987,121,125,122,93,161,108.7,84.4,
4,1987,117,122,99,86,146,101.7,76.6,
1,1988,123,131,110,90,155,107.3,82.6,
2,1988,116,127,121,94,161,106.6,85.1,
3,1988,125,129,119,101,161,110.3,86.9,
4,1988,113,126,123,97,155,103.5,86.3,
1,1989,119,130,126,100,158,106.9,88.8,
2,1989,116,126,112,90,157,105.2,81.7,
3,1989,114,126,120,95,156,104.4,84.8,
4,1989,115,131,119,95,147,101.2,85.7,
1,1990,114,125,113,92,160,105.7,82,
2,1990,120,129,106,86,160,108,80,
3,1990,109,119,71,74,148,99.1,66.3,
4,1990,95,109,41,58,124,85,52.4,
1,1991,101,121,71,75,124,87,67,
2,1991,102,122,95,79,134,91.3,74,
3,1991,104,122,97,83,139,93.9,75.4,
4,1991,92,120,73,65,122,83.1,64.6,
1,1992,91,119,68,68,119,81.7,63.7,
2,1992,98,125,89,69,139,91.6,70.8,
3,1992,96,123,79,70,132,88.4,68.2,
4,1992,99,125,102,87,135,90.8,78.5,
1,1993,107,124,103,94,148,98.7,79.9,
2,1993,105,118,89,81,151,99.1,71.8,
3,1993,101,113,77,72,146,95.5,65.8,
4,1993,108,120,95,80,150,99.9,73.9,
1,1994,111,125,123,94,162,105.4,85,
2,1994,113,125,116,93,163,106.3,83.1,
3,1994,113,126,109,89,162,106,80.9,
4,1994,110,128,119,99,159,103.9,86.3,
1,1995,116,125,118,98,167,109.2,84.7,
2,1995,115,127,113,92,159,105.7,82.7,
3,1995,116,126,117,95,162,107.2,84.1,
4,1995,111,123,113,90,156,102.9,81.4,
1,1996,113,127,113,84,161,105.5,80.9,
2,1996,117,126,115,89,159,106.1,82.1,
3,1996,114,129,123,101,160,105.7,88,
4,1996,118,131,133,106,158,106.3,91.8,
1,1997,117,132,136,107,163,108,93.3,
2,1997,127,133,139,114,169,114,96,
3,1997,126,136,150,122,167,112.9,101.2,
4,1997,126,137,149,119,165,112,100.4,
1,1998,131,140,154,121,169,115.7,102.8,
2,1998,130,135,157,118,168,114.9,101.8,
3,1998,130,136,140,116,163,113,97.4,
4,1998,130,132,128,107,167,114.2,91.2,
1,1999,132,135,146,120,169,116,99.4,
2,1999,133,135,144,117,175,118.6,98.3,
3,1999,132,137,146,120,168,115.5,99.7,
4,1999,133,135,145,122,163,113.9,99.7,
1,2000,134,138,157,132,169,116.5,106,
2,2000,132,137,150,129,173,117.6,103.1,
3,2000,126,136,149,134,167,112.9,104,
4,2000,129,133,135,125,166,113.7,97.7,
1,2001,121,129,99,109,152,105.6,83.7,
2,2001,113,130,102,109,147,100.6,84.8,
3,2001,113,130,96,105,141,98.1,82.4,
4,2001,107,133,80,100,141,96.1,78.1,
1,2002,108,138,112,113,144,97.4,90.4,
2,2002,109,136,116,109,152,100.7,89.9,
3,2002,106,131,95,96,147,97.8,80.5,
4,2002,100,132,86,92,142,93.8,77.4,
1,2003,102,127,70,86,142,94.2,70.8,
2,2003,103,135,106,103,142,94.8,85.7,
3,2003,108,131,105,95,151,100.1,82.3,
4,2003,108,126,119,105,151,99.8,87,
1,2004,115,133,126,114,162,106.7,92.5,
2,2004,113,129,113,103,160,105.1,85.8,
3,2004,117,132,118,109,157,105.6,89.1,
4,2004,112,127,117,105,160,105.1,86.6,
1,2005,120,130,111,97,163,109.3,84.3,
2,2005,115,124,100,93,164,107.5,79.1,
3,2005,114,123,92,86,162,106.5,75.1,
4,2005,106,119,85,80,153,100.1,71,
1,2006,116,122,98,86,165,108.3,76.5,
2,2006,111,119,85,81,157,103.5,71.2,
3,2006,106,119,87,86,156,101.3,72.9,
4,2006,119,127,110,97,159,107.1,83,
1,2007,117,125,107,100,160,107.2,82.6,
2,2007,114,123,92,89,155,103.9,76,
3,2007,109,121,92,93,151,100.3,76.4,
4,2007,103,115,73,80,138,93.4,67.3,
1,2008,95,113,56,84,131,87.5,63.5,
2,2008,78,98,38,66,108,72.6,51.2,
3,2008,77,110,53,74,110,73,59.5,
4,2008,60,107,43,67,98,61.9,55,
1,2009,66,107,41,66,100,65.1,54,
2,2009,66,117,66,85,113,69.8,67.3,
3,2009,66,112,75,81,115,70.2,67.2,
4,2009,68,115,76,80,121,73.5,68,
1,2010,76,110,81,84,135,81.8,68.8,
2,2010,78,111,81,81,134,82.5,68.4,
3,2010,79,108,65,74,122,78.1,62,
4,2010,80,110,72,75,130,81.3,64.8,
1,2011,85,109,77,78,131,83.8,66.3,
2,2011,82,106,77,78,130,82.2,65.3,
3,2011,74,102,44,55,114,73.1,50.9,
4,2011,78,105,55,64,121,77.3,56.7,
1,2012,90,111,81,87,128,84.4,69.8,
2,2012,89,111,86,89,128,83.9,71.5,
3,2012,88,110,78,84,134,85.7,68.1,
4,2012,96,112,89,93,133,88.6,73.5,
1,2013,90,109,85,83,138,88.3,69.2,
2,2013,101,112,97,87,142,93.9,73.8,
3,2013,101,114,95,82,146,95.5,72.7,
4,2013,96,107,80,81,142,92.1,67.1,
1,2014,101,115,91,78,148,96,71.3,
2,2014,108,113,99,85,142,96.6,74,
3,2014,109,115,92,84,146,98.7,72.9,
4,2014,110,121,108,99,154,101.9,81.9,
1,2015,120,123,122,109,158,107.1,88.1,
2,2015,117,124,121,105,157,105.6,86.9,
3,2015,116,122,109,98,155,104.5,82,
4,2015,111,125,103,104,161,104.9,82.6,
1,2016,115,126,101,102,160,106.2,82,
2,2016,122,125,102,101,161,109.1,81.7,
3,2016,117,124,98,98,160,106.7,79.8,
4,2016,118,128,106,103,161,107.5,83.9,
1,2017,128,127,117,109,162,112,87.8,
2,2017,128,130,114,102,164,112.3,86.2,
3,2017,130,130,113,95,161,112,84.2,
