Table 6: Current Financial Situation Compared with a Year Ago
Quarter,Year,Better,Same,Worse,DK; NA,Relative,
1,1960,35,38,25,2,110,
2,1960,31,44,23,2,108,
3,1960,34,49,15,2,119,
4,1960,27,47,24,2,103,
1,1961,29,43,27,1,102,
2,1961,29,45,24,2,105,
3,1961,32,51,16,1,116,
4,1961,32,43,23,2,109,
1,1962,32,45,22,1,110,
2,1962,32,46,20,2,112,
3,1962,31,45,22,2,109,
4,1962,35,45,19,1,116,
1,1963,37,40,21,2,116,
2,1963,34,44,20,2,114,
3,1963,32,48,19,1,113,
4,1963,34,44,20,2,114,
1,1964,35,43,21,1,114,
2,1964,39,41,19,1,120,
3,1964,44,43,11,2,133,
4,1964,44,42,12,2,132,
1,1965,37,43,19,1,118,
2,1965,50,36,12,2,138,
3,1965,37,45,17,1,120,
4,1965,37,44,17,2,120,
1,1966,38,43,18,1,120,
2,1966,34,46,19,1,115,
3,1966,32,43,24,1,108,
4,1966,35,38,25,2,110,
1,1967,37,43,19,1,118,
2,1967,34,44,21,1,113,
3,1967,35,48,17,0,118,
4,1967,34,42,23,1,111,
1,1968,38,43,18,1,120,
2,1968,34,45,20,1,114,
3,1968,35,42,21,2,114,
4,1968,34,44,20,2,114,
1,1969,39,42,18,1,121,
2,1969,35,41,24,0,111,
3,1969,32,42,24,2,108,
4,1969,32,38,28,2,104,
1,1970,33,37,28,2,105,
2,1970,33,40,25,2,108,
3,1970,33,41,26,0,107,
4,1970,32,38,28,2,104,
1,1971,31,36,32,1,99,
2,1971,31,42,27,0,104,
3,1971,26,45,28,1,98,
4,1971,31,41,27,1,104,
1,1972,31,43,25,1,106,
2,1972,47,34,18,1,129,
3,1972,39,44,17,0,122,
4,1972,35,41,22,2,113,
1,1973,36,36,27,1,109,
2,1973,34,36,28,2,106,
3,1973,29,34,36,1,93,
4,1973,38,32,29,1,109,
1,1974,28,30,40,2,88,
2,1974,35,30,34,1,101,
3,1974,26,31,42,1,84,
4,1974,28,28,42,2,86,
1,1975,24,31,45,0,79,
2,1975,26,35,39,0,87,
3,1975,29,36,35,0,94,
4,1975,32,33,34,1,98,
1,1976,35,32,32,1,103,
2,1976,35,32,32,1,103,
3,1976,36,33,30,1,106,
4,1976,32,32,34,2,98,
1,1977,32,32,35,1,97,
2,1977,38,32,29,1,109,
3,1977,37,35,27,1,110,
4,1977,38,33,28,1,110,
1,1978,34,35,30,1,104,
2,1978,37,30,32,1,105,
3,1978,37,30,32,1,105,
4,1978,35,30,34,1,101,
1,1979,34,29,36,1,98,
2,1979,32,25,42,1,90,
3,1979,32,28,40,0,92,
4,1979,29,26,45,0,84,
1,1980,30,26,44,0,86,
2,1980,25,26,48,1,77,
3,1980,31,28,40,1,91,
4,1980,28,27,45,0,83,
1,1981,27,28,45,0,82,
2,1981,29,30,41,0,88,
3,1981,34,30,36,0,98,
4,1981,30,30,39,1,91,
1,1982,31,28,40,1,91,
2,1982,29,32,38,1,91,
3,1982,30,29,41,0,89,
4,1982,31,28,41,0,90,
1,1983,30,31,39,0,91,
2,1983,37,32,31,0,106,
3,1983,38,32,30,0,108,
4,1983,40,33,27,0,113,
1,1984,44,30,25,1,119,
2,1984,45,31,24,0,121,
3,1984,45,33,22,0,123,
4,1984,44,30,25,1,119,
1,1985,41,33,26,0,115,
2,1985,41,33,25,1,116,
3,1985,42,29,28,1,114,
4,1985,41,32,27,0,114,
1,1986,45,30,25,0,120,
2,1986,45,31,24,0,121,
3,1986,47,28,25,0,122,
4,1986,43,33,24,0,119,
1,1987,43,29,27,1,116,
2,1987,43,31,26,0,117,
3,1987,44,32,23,1,121,
4,1987,42,32,25,1,117,
1,1988,47,28,24,1,123,
2,1988,42,32,26,0,116,
3,1988,49,27,24,0,125,
4,1988,40,32,27,1,113,
1,1989,43,32,24,1,119,
2,1989,41,33,25,1,116,
3,1989,41,31,27,1,114,
4,1989,41,32,26,1,115,
1,1990,41,31,27,1,114,
2,1990,44,32,24,0,120,
3,1990,39,31,30,0,109,
4,1990,32,30,37,1,95,
1,1991,34,33,33,0,101,
2,1991,35,31,33,1,102,
3,1991,36,31,32,1,104,
4,1991,32,27,40,1,92,
