Table 8: Expected Change in Financial Situation in a Year
Quarter,Year,Better Off,Same,Worse,DK; NA,Relative,
1,1960,41,40,7,12,134,
2,1960,35,45,6,14,129,
3,1960,38,49,5,13,133,
4,1960,31,47,5,17,126,
1,1961,39,40,7,14,132,
2,1961,38,44,7,11,131,
3,1961,41,43,5,11,130,
4,1961,33,49,5,13,128,
1,1962,39,43,6,12,133,
2,1962,37,47,5,11,132,
3,1962,34,47,6,13,128,
4,1962,34,49,5,12,129,
1,1963,42,42,6,10,136,
2,1963,34,51,6,9,128,
3,1963,32,52,5,11,127,
4,1963,32,51,6,11,126,
1,1964,36,47,6,11,130,
2,1964,37,46,7,10,130,
3,1964,45,44,5,6,140,
4,1964,46,44,5,5,141,
1,1965,39,43,7,11,132,
2,1965,44,43,7,6,134,
3,1965,40,43,5,12,135,
4,1965,40,46,5,9,135,
1,1966,38,46,7,9,131,
2,1966,32,48,10,10,122,
3,1966,33,43,12,12,121,
4,1966,31,45,11,13,120,
1,1967,39,43,7,11,132,
2,1967,38,43,10,9,128,
3,1967,34,45,9,12,125,
4,1967,35,42,11,12,124,
1,1968,42,42,7,9,135,
2,1968,33,45,10,12,123,
3,1968,36,43,9,12,127,
4,1968,30,46,9,15,121,
1,1969,42,43,6,9,136,
2,1969,37,41,12,10,125,
3,1969,33,41,14,12,119,
4,1969,34,40,14,12,120,
1,1970,33,42,13,12,120,
2,1970,33,44,11,12,122,
3,1970,32,43,12,13,120,
4,1970,32,43,11,14,121,
1,1971,33,42,12,13,121,
2,1971,33,41,12,14,121,
3,1971,29,46,9,16,120,
4,1971,32,42,10,16,122,
1,1972,36,44,9,11,127,
2,1972,38,46,6,10,132,
3,1972,35,51,6,8,129,
4,1972,33,47,9,11,124,
1,1973,32,46,13,9,119,
2,1973,29,44,16,11,113,
3,1973,24,47,18,11,106,
4,1973,31,42,13,14,118,
1,1974,22,47,22,9,100,
2,1974,30,43,17,10,113,
3,1974,23,44,22,11,101,
4,1974,24,40,24,12,100,
1,1975,21,50,19,10,102,
2,1975,30,51,12,7,118,
3,1975,25,51,17,7,108,
4,1975,32,45,12,11,120,
1,1976,35,45,10,10,125,
2,1976,32,43,13,12,119,
3,1976,32,47,12,9,120,
4,1976,30,48,13,9,117,
1,1977,32,48,14,6,118,
2,1977,29,54,13,4,116,
3,1977,31,54,12,3,119,
4,1977,24,56,15,5,109,
1,1978,27,51,17,5,110,
2,1978,28,50,19,3,109,
3,1978,28,51,17,4,111,
4,1978,25,46,22,7,103,
1,1979,24,47,25,4,99,
2,1979,21,47,29,3,92,
3,1979,22,49,26,3,96,
4,1979,23,48,26,3,97,
1,1980,24,47,25,4,99,
2,1980,26,44,28,2,98,
3,1980,30,47,19,4,111,
4,1980,28,46,19,7,109,
1,1981,27,47,20,6,107,
2,1981,32,46,18,4,114,
3,1981,31,48,16,5,115,
4,1981,30,47,20,3,110,
1,1982,30,47,19,4,111,
2,1982,32,46,19,3,113,
3,1982,31,48,18,3,113,
4,1982,35,45,16,4,119,
1,1983,35,46,16,3,119,
2,1983,40,49,8,3,132,
3,1983,36,49,11,4,125,
4,1983,36,49,11,4,125,
1,1984,41,46,10,3,131,
2,1984,38,48,12,2,126,
3,1984,37,50,9,4,128,
4,1984,37,49,10,4,127,
1,1985,34,51,12,3,122,
